id,url,title,company_name,features
1,https://tenshoku.mynavi.jp/jobinfo-113629-1-5-1/,★未経験歓迎！【組込み系・Web系のシステム開発エンジニア】,図研テック株式会社,"正社員,340万～500万円,職種・業種未経験OK,急募,第二新卒歓迎,完全週休2日制,女性のおしごと掲載中"
2,https://tenshoku.mynavi.jp/jobinfo-290297-1-7-1/,"【総合職（製造・設備保全）】★年休124日 ★賞与5.3ヶ月分",京セラ株式会社,"正社員,職種・業種未経験OK,上場,第二新卒歓迎,完全週休2日制,女性のおしごと掲載中"
3,https://tenshoku.mynavi.jp/jobinfo-200940-1-16-1/,＼11年連続最高売上／『フロン』の【回収スタッフ】*未経験歓迎,中京フロン株式会社,"正社員,300万～450万円,職種・業種未経験OK,学歴不問,第二新卒歓迎,転勤なし"
4,https://tenshoku.mynavi.jp/jobinfo-153433-1-2-1/,住宅インフラを守る！【メンテナンススタッフ】　※転勤なし,中部日化サービス株式会社,"正社員,職種・業種未経験OK,急募,第二新卒歓迎"
